Dist.,School,DBN,Grade Level,Type of School,Principal,Arts Education Liaision,Cultural & Arts Partners,Arts Discipline,Total Number of Students Served,Total Contact Hours Per Student,Dist.
,Bard High School Early College,01M696,"09,10,11,12,SE",High School,Michael Lerner,Anna Dolan,Bard College / The Bard Graduate Center,,,,
,Bard High School Early College,01M696,"09,10,11,12,SE",High School,Michael Lerner,Anna Dolan,St. Ann’s Warehouse,,,,
,Bard High School Early College,01M696,"09,10,11,12,SE",High School,Michael Lerner,Anna Dolan,Jazz at Lincoln Center,,,,
,Bard High School Early College,01M696,"09,10,11,12,SE",High School,Michael Lerner,Anna Dolan,The Metropolitan Opera,,,,
,Bard High School Early College,01M696,"09,10,11,12,SE",High School,Michael Lerner,Anna Dolan,Abrons Art Center,,,,
,Bard High School Early College,01M696,"09,10,11,12,SE",High School,Michael Lerner,Anna Dolan,International Center for Photography,,,,
,Cascades High School,01M650,"09,10,11,12",High School,Claire Sheehan,Adriana Santiago,Counseling in Schools,Other,,,
,Cascades High School,01M650,"09,10,11,12",High School,Claire Sheehan,Adriana Santiago,Society of the 3rd Street Music School Settlement,Music,,,
,Earth School,01M364,"PK,0K,01,02,03,04,05,SE",Elementary,Abbe Futterman,Patrice Lorenz,ArtsConnection,Dance,,,
,Earth School,01M364,"PK,0K,01,02,03,04,05,SE",Elementary,Abbe Futterman,Patrice Lorenz,Movement Research,Dance,,,
,Earth School,01M364,"PK,0K,01,02,03,04,05,SE",Elementary,Abbe Futterman,Patrice Lorenz,Third Street Music School Settlement,Music,,,
,East Side Community School,01M450,"06,07,08,09,10,11,12,SE",Middle and High School,Mark Federman,Desiree Borrero,None,,,,
,Forsyth Satellite Academy,01M458,"09,10,11,12,SE",High School,Brady Smith,N/A,The Downtown Community Television Center (DCTV),Film/Media,,,
,Lower East Side Preparatory High School,01M515,"09,10,11,12",High School,Rene Anaya,Rene Anaya,Abrons Arts Center,Dance,,,
,Lower East Side Preparatory High School,01M515,"09,10,11,12",High School,Rene Anaya,Rene Anaya,Abrons Arts Center,Music,,,
,Lower East Side Preparatory High School,01M515,"09,10,11,12",High School,Rene Anaya,Rene Anaya,Abrons Arts Center,Visual Arts,,,
,Lower East Side Preparatory High School,01M515,"09,10,11,12",High School,Rene Anaya,Rene Anaya,Dance Makers,Dance,,,
,Lower East Side Preparatory High School,01M515,"09,10,11,12",High School,Rene Anaya,Rene Anaya,Dancing Classroom American Ballroom,Dance,,,
,Lower East Side Preparatory High School,01M515,"09,10,11,12",High School,Rene Anaya,Rene Anaya,Lincoln Center Theatre,Theater,,,
,Lower East Side Preparatory High School,01M515,"09,10,11,12",High School,Rene Anaya,Rene Anaya,Magic Box Productions,Film/Media,,,
,Marta Valle High School,01M509,"09,10,11,12,SE",High School,Steven Aragona,Andrew Rizzo,None,,,,
,Neighborhood School,01M363,"PK, 0K,01,02,03,04,05,SE",Elementary,Dyanthe Spielberg,Alexis Neider,Studio in a School Association,Visual Arts,,,
,"New Explorations into Science, Technology and Math High School",01M539,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K-12,Mark Berkowitz,Pieter Voorhees,Alvin Ailey Dance Foundation,Dance,,,
,"New Explorations into Science, Technology and Math High School",01M539,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K-12,Mark Berkowitz,Pieter Voorhees,Carnegie Hall Corporation,Music,,,
,"New Explorations into Science, Technology and Math High School",01M539,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K-12,Mark Berkowitz,Pieter Voorhees,Dancing Classroom American Ballroom,Dance,,,
,"New Explorations into Science, Technology and Math High School",01M539,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K-12,Mark Berkowitz,Pieter Voorhees,Jazz at Lincoln Center,Music,,,
,Orchard Collegiate Academy,01M292,"09,10,11,12,SE",High School,Miles Doyle,Miles Doyle,Abrons Arts Center,Visual Arts,,,
,P.S. 015 Roberto Clemente,01M015,"PK,0K,01,02,03,04,05,SE",Elementary,Irene Sanchez,Rosemary Camera,Arts for All,Theater,,,
,P.S. 015 Roberto Clemente,01M015,"PK,0K,01,02,03,04,05,SE",Elementary,Irene Sanchez,Rosemary Camera,ArtsConnection,Theater,,,
,P.S. 015 Roberto Clemente,01M015,"PK,0K,01,02,03,04,05,SE",Elementary,Irene Sanchez,Rosemary Camera,Children's Museum of the Arts,Visual Arts,,,
,P.S. 015 Roberto Clemente,01M015,"PK,0K,01,02,03,04,05,SE",Elementary,Irene Sanchez,Rosemary Camera,Jacob's Digs/Insurgo,Other,,,
,P.S. 015 Roberto Clemente,01M015,"PK,0K,01,02,03,04,05,SE",Elementary,Irene Sanchez,Rosemary Camera,Mark DeGarmo and Dancers / Dynamic Forms,Dance,,,
,P.S. 015 Roberto Clemente,01M015,"PK,0K,01,02,03,04,05,SE",Elementary,Irene Sanchez,Rosemary Camera,Rosie's Theatre Kids,Dance,,,
