DBN,lat,lng
01M015,40.722075,-73.978747
01M019,40.730009,-73.984496
01M020,40.721305,-73.986312
01M034,40.726008,-73.975058
01M063,40.72444,-73.986214
01M064,40.72313,-73.981597
01M110,40.7162,-73.9798
01M134,40.714248,-73.983854
01M140,40.719148,-73.983769
01M142,40.718121,-73.984116
01M184,40.711125,-73.985438
01M188,40.719888,-73.97738
01M292,40.713362,-73.986051
01M301,40.730009,-73.984496
01M315,40.727537,-73.978254
01M332,40.713362,-73.986051
01M361,40.727537,-73.978254
01M363,40.72444,-73.986214
01M364,40.72313,-73.981597
01M378,40.72004,-73.986038
01M448,40.712269,-73.984128
01M450,40.729152,-73.982472
01M458,40.722415,-73.990468
01M509,40.72004,-73.986038
01M515,40.72004,-73.986038
01M539,40.719416,-73.979581
01M650,40.722415,-73.990468
01M696,40.718276,-73.976093
01M839,40.72313,-73.981597
02M001,40.71255,-73.997478
02M002,40.712907,-73.991523
02M003,40.732603,-74.005949
02M006,40.777737,-73.960427
02M011,40.744186,-74.000743
02M033,40.749014,-74.000238
02M040,40.735328,-73.981536
02M041,40.73545,-73.999094
02M042,40.716126,-73.990826
02M047,40.738374,-73.981329
02M051,40.761487,-73.995825
02M059,40.759248,-73.967204
02M077,40.785018,-73.95042
02M089,40.71701,-74.013967
02M104,40.735879,-73.981034
02M111,40.76588,-73.989776
02M114,40.780452,-73.947379
02M116,40.744511,-73.977906
02M124,40.715097,-73.996017
02M126,40.710651,-73.99742
02M130,40.71866,-73.998326
02M131,40.716231,-73.993607
02M135,40.711441,-74.000851
02M139,40.763655,-73.990318
02M150,40.71953,-74.01088
02M151,40.777948,-73.947287
02M158,40.770215,-73.950745
02M167,40.771541,-73.957827
02M177,40.770215,-73.950745
02M183,40.763804,-73.957731
02M198,40.785018,-73.95042
02M212,40.761327,-73.988665
02M217,40.753598,-73.956435
02M225,40.765638,-73.959777
02M234,40.71953,-74.01088
02M255,40.735328,-73.981536
02M260,40.736526,-73.992727
02M267,40.763883,-73.963861
02M276,40.706384,-74.017456
02M280,40.711441,-74.000851
02M281,40.744288,-73.972592
02M282,40.711441,-74.000851
02M288,40.765474,-73.9927
02M289,40.71701,-74.013967
02M290,40.775181,-73.952777
02M294,40.717329,-73.989329
02M296,40.765474,-73.9927
02M297,40.736526,-73.992727
02M298,40.716231,-73.993607
02M300,40.765474,-73.9927
02M303,40.765474,-73.9927
02M305,40.717329,-73.989329
02M308,40.717329,-73.989329
02M312,40.742512,-74.002222
02M313,40.743407,-74.00254
02M316,40.705688,-74.013303
02M340,40.739145,-73.995534
02M343,40.708774,-74.002407
02M347,40.738374,-73.981329
02M374,40.735361,-73.987064
02M376,40.72463,-74.005058
02M392,40.743407,-74.00254
02M393,40.763655,-73.990318
02M394,40.716231,-73.993607
02M397,40.711321,-74.005473
02M399,40.735361,-73.987064
02M400,40.767848,-73.98861
02M407,40.732665,-73.98259
02M408,40.761327,-73.988665
02M411,40.741888,-73.985723
02M412,40.742512,-74.002222
02M413,40.739121,-73.985323
02M414,40.742512,-74.002222
02M416,40.770288,-73.953276
02M418,40.704697,-74.011202
02M419,40.743407,-74.00254
02M420,40.732665,-73.98259
02M422,40.743407,-74.00254
02M425,40.708971,-74.012465
02M427,40.74651,-73.98107
02M432,40.74651,-73.98107
02M437,40.743407,-74.00254
02M438,40.735361,-73.987064
02M439,40.741963,-73.991966
02M442,40.738521,-73.989481
02M449,40.765638,-73.959777
02M459,40.765638,-73.959777
02M475,40.718025,-74.013921
02M489,40.70927,-74.012328
02M500,40.74651,-73.98107
02M507,40.763655,-73.990318
02M519,40.765638,-73.959777
02M520,40.711441,-74.000851
02M527,40.780652,-73.947856
02M529,40.757626,-73.98346
02M531,40.756089,-73.984381
02M533,40.735361,-73.987064
02M534,40.736416,-73.995731
02M542,40.765474,-73.9927
02M543,40.717329,-73.989329
02M544,40.767848,-73.98861
02M545,40.717329,-73.989329
02M546,40.735361,-73.987064
02M550,40.74182,-74.000238
02M551,40.689493,-74.018941
02M560,40.729052,-74.006155
02M565,40.765638,-73.959777
02M570,40.747425,-73.990562
02M575,40.732699,-73.984333
02M580,40.705688,-74.013303
02M586,40.729661,-73.992343
02M600,40.745677,-73.996354
02M605,40.743407,-74.00254
02M615,40.72463,-74.005058
02M630,40.759248,-73.967204
02M655,40.783286,-73.945933
02M896,40.705688,-74.013303
02M933,40.753099,-73.997641
03M009,40.785234,-73.974256
03M054,40.8007,-73.96327
03M075,40.795109,-73.973996
03M076,40.806534,-73.951451
03M084,40.789479,-73.968419
03M087,40.78171,-73.97802
03M145,40.799098,-73.965611
03M149,40.802649,-73.948088
03M163,40.795163,-73.96847
03M165,40.802653,-73.965949
03M166,40.788925,-73.972557
03M180,40.80757,-73.955861
03M185,40.798461,-73.950146
03M191,40.7722,-73.990902
03M199,40.777603,-73.984423
03M208,40.798461,-73.950146
03M241,40.801573,-73.955583
03M242,40.806055,-73.948385
03M243,40.785234,-73.974256
03M245,40.780536,-73.977602
03M247,40.780536,-73.977602
03M250,40.795109,-73.973996
03M256,40.791395,-73.971011
03M258,40.791395,-73.971011
03M291,40.772608,-73.988338
03M299,40.774891,-73.985608
03M307,40.774891,-73.985608
03M333,40.791395,-73.971011
03M334,40.780536,-73.977602
03M402,40.786134,-73.974483
03M403,40.786134,-73.974483
03M404,40.786134,-73.974483
03M415,40.80261,-73.954152
03M417,40.786134,-73.974483
03M421,40.799098,-73.965611
03M452,40.771603,-73.987515
03M479,40.760858,-73.996262
03M485,40.774202,-73.985976
03M492,40.774891,-73.985608
03M494,40.774891,-73.985608
03M505,40.797136,-73.966779
03M541,40.774891,-73.985608
03M859,40.775256,-73.982976
03M860,40.80261,-73.954152
03M862,40.802653,-73.965949
04M007,40.800616,-73.939374
04M012,40.792556,-73.942285
04M037,40.796889,-73.930528
04M038,40.788668,-73.944762
04M050,40.785559,-73.940919
04M057,40.797205,-73.941598
04M072,40.791444,-73.94745
04M083,40.793363,-73.941955
04M096,40.79969,-73.937179
04M102,40.795,-73.938418
04M108,40.795032,-73.947855
04M112,40.796889,-73.930528
04M146,40.789535,-73.938727
04M155,40.797507,-73.935895
04M171,40.792302,-73.951425
04M182,40.793363,-73.941955
04M206,40.796889,-73.930528
04M224,40.785107,-73.942154
04M310,40.784112,-73.945647
04M372,40.792556,-73.942285
04M375,40.796098,-73.944546
04M377,40.797507,-73.935895
04M406,40.800616,-73.939374
04M409,40.799265,-73.93374
04M435,40.794184,-73.932868
04M495,40.790191,-73.944092
04M497,40.793649,-73.948488
04M555,40.793649,-73.948488
04M610,40.792932,-73.947171
04M680,40.791966,-73.946879
04M825,40.794184,-73.932868
04M964,40.792302,-73.951425
05M030,40.805653,-73.935461
05M036,40.810705,-73.957409
05M046,40.8304,-73.9363
05M092,40.814917,-73.945838
05M123,40.820216,-73.944551
05M125,40.810793,-73.955722
05M129,40.814914,-73.95202
05M133,40.809665,-73.939178
05M148,40.817228,-73.947151
05M154,40.810499,-73.948902
05M157,40.807019,-73.938714
05M161,40.817719,-73.952476
05M175,40.814388,-73.942706
05M194,40.821208,-73.941111
05M197,40.813532,-73.938347
05M200,40.823988,-73.935746
05M285,40.807692,-73.939974
05M286,40.815747,-73.95552
05M302,40.817228,-73.947151
05M304,40.817228,-73.947151
05M318,40.825831,-73.937833
05M362,40.810793,-73.955722
05M367,40.815747,-73.95552
05M369,40.815747,-73.95552
05M499,40.823988,-73.935746
05M514,40.819793,-73.956814
05M517,40.812428,-73.953317
